year,month,Ftemp
1950,1,39.99427380645166
1950,2,31.838770142857182
1950,3,35.444410903225844
1950,4,47.38106540000005
1950,5,57.668070838709724
1950,6,69.73894460000002
1950,7,74.33647264516134
1950,8,71.97116464516134
1950,9,63.66505940000003
1950,10,57.802363612903264
1950,11,47.42423300000005
1950,12,34.57359122580649
1951,1,34.430655548387136
1951,2,34.096713928571475
1951,3,40.90726806451617
1951,4,51.67893020000004
1951,5,62.06212341935488
1951,6,68.91136940000004
1951,7,75.49928309677423
1951,8,73.42246341935487
1951,9,67.12920860000004
1951,10,57.61454812903229
1951,11,42.09637160000004
1951,12,36.57671425806456
1952,1,35.15622567741939
1952,2,34.727982551724175
1952,3,38.724264645161334
1952,4,53.218696400000034
1952,5,59.71314432258069
1952,6,72.67010960000003
1952,7,78.4769847741936
1952,8,73.74912393548391
1952,9,67.75174040000005
1952,10,53.42800651612907
1952,11,46.688569400000034
1952,12,37.63736251612907
1953,1,35.73196090322585
1953,2,37.64316650000004
1953,3,41.845766580645204
1953,4,50.969700200000034
1953,5,61.753971548387135
1953,6,71.86554020000004
1953,7,76.17015645161295
1953,8,73.63585341935487
1953,9,68.03404760000004
1953,10,57.70533374193552
1953,11,47.33364560000004
1953,12,39.694190580645206
1954,1,28.35377251612907
1954,2,37.28404528571433
1954,3,40.68419174193552
1954,4,52.129616000000034
1954,5,58.814648774193586
1954,6,70.41782240000005
1954,7,74.76050038709681
1954,8,72.04800838709681
1954,9,66.10051460000004
1954,10,60.052817096774234
1954,11,44.846511200000045
1954,12,35.13324200000005
1955,1,30.077918193548424
1955,2,32.59727600000004
1955,3,40.44616148387101
1955,4,51.493982000000045
1955,5,63.674287612903264
1955,6,68.47961780000006
1955,7,79.2575036774194
1955,8,76.96888032258069
1955,9,66.97337900000005
1955,10,58.88126735483875
1955,11,43.53640100000004
1955,12,29.257024129032303
1956,1,32.026231806451655
1956,2,35.270871862069
1956,3,35.809702322580684
1956,4,46.87562120000004
1956,5,57.88553116129036
1956,6,71.40646100000004
1956,7,72.91432400000004
1956,8,73.29089387096779
1956,9,63.868021400000025
1956,10,56.503899935483915
1956,11,46.377381200000045
1956,12,39.46903322580649
1957,1,27.178421290322625
1957,2,35.01934057142861
1957,3,40.5887005806452
1957,4,51.423897800000034
1957,5,61.84658967741939
1957,6,73.62160640000005
1957,7,75.67512567741939
1957,8,72.02555832258068
1957,9,68.34216200000004
1957,10,54.73470780645167
1957,11,47.88502580000003
1957,12,39.149466451612945
1958,1,30.046804903225844
1958,2,26.505222285714307
1958,3,38.88866561290326
1958,4,51.72239540000003
1958,5,58.81240574193552
1958,6,66.26152700000004
1958,7,76.06715580645167
1958,8,73.53754380645165
1958,9,66.23469380000003
1958,10,54.203423870967775
1958,11,46.705664000000034
1958,12,28.612849419354877
1959,1,29.774261096774236
1959,2,30.559815500000038
1959,3,38.43726451612907
1959,4,51.90427460000004
1959,5,64.46839477419358
1959,6,70.48925060000005
1959,7,75.51680638709682
1959,8,75.80791341935488
1959,9,69.41245880000004
1959,10,58.73399077419359
1959,11,45.36343580000004
1959,12,36.64615477419358
1960,1,31.8734785806452
1960,2,35.46176993103452
1960,3,30.361255032258093
1960,4,52.13138960000004
1960,5,60.62560438709683
1960,6,70.76844440000006
1960,7,73.4850192258065
1960,8,73.23926058064521
1960,9,66.26338340000004
1960,10,55.6878850322581
1960,11,46.913884400000036
1960,12,26.910801354838753
1961,1,22.41111141935487
1961,2,31.306879785714322
1961,3,38.92834400000003
1961,4,46.85168000000005
1961,5,58.20513219354843
1961,6,70.20919280000004
1961,7,75.35378793548391
1961,8,73.42302141935488
1961,9,71.99571620000003
1961,10,57.05126425806456
1961,11,46.58383640000004
1961,12,32.997758580645204
1962,1,29.461124387096813
1962,2,28.277212357142908
1962,3,37.996971741935525
1962,4,51.101403200000036
1962,5,61.69177225806455
1962,6,71.50359140000003
1962,7,72.4269461290323
1962,8,71.70838322580649
1962,9,63.80064560000004
1962,10,55.655679548387134
1962,11,41.826813800000046
1962,12,29.845888322580688
1963,1,27.182384193548433
1963,2,25.237526642857187
1963,3,39.46762051612907
1963,4,51.03089180000004
1963,5,60.02135774193553
1963,6,70.54430600000003
1963,7,75.52791412903231
1963,8,72.01915670967747
1963,9,62.59261820000005
1963,10,58.2157150322581
1963,11,49.11396860000004
1963,12,28.732338645161338
1964,1,30.33286729032261
1964,2,29.20950158620694
1964,3,40.144443741935525
1964,4,47.92620020000003
1964,5,63.45104000000004
1964,6,69.74467580000005
1964,7,75.36289535483876
1964,8,71.06595335483875
1964,9,66.70312400000005
1964,10,53.310839290322626
1964,11,47.91924980000003
1964,12,35.49642741935489
1965,1,26.199429741935532
1965,2,29.518449928571474
1965,3,36.607808967741974
1965,4,47.272239800000044
1965,5,64.52518070967746
1965,6,69.84278000000005
1965,7,73.83381974193554
1965,8,72.99118574193552
1965,9,67.34711660000004
1965,10,54.052536258064556
1965,11,44.536551200000034
1965,12,36.66051645161294
1966,1,29.509869548387137
1966,2,30.08078600000004
1966,3,40.38470483870972
1966,4,47.342741600000046
1966,5,57.83438503225811
1966,6,71.83208600000005
1966,7,77.49552374193551
1966,8,74.74734296774199
1966,9,65.36338400000004
1966,10,53.888677612903265
1966,11,47.66031140000004
1966,12,34.32872851612908
1967,1,34.51404606451617
1967,2,27.093477714285747
1967,3,34.152164774193594
1967,4,47.95088900000004
1967,5,54.27583496774197
1967,6,70.50626600000005
1967,7,74.27141309677425
1967,8,72.70463096774198
1967,9,64.99618220000004
1967,10,55.715227032258106
1967,11,41.745641600000035
1967,12,36.90238883870971
1968,1,24.666269290322617
