year,season,Ftemp
1950,Fall,56.31375872527477
1950,Spring,46.82520539130439
1950,Summer,72.0402727608696
1950,Winter,36.12386528813564
1951,Fall,55.63536701098904
1951,Spring,51.548033065217425
1951,Summer,72.65125243478265
1951,Winter,34.375996000000036
1952,Fall,55.928324131868166
1952,Spring,50.523049673913086
1952,Summer,74.99035497826091
1952,Winter,35.503655296703336
1953,Fall,57.691166395604434
1953,Spring,51.529161826087
1953,Summer,73.91252730434788
1953,Winter,36.98286320000004
1954,Fall,57.033495648351696
1954,Spring,50.525571043478294
1954,Summer,72.43041786956526
1954,Winter,35.03822360000004
1955,Fall,56.49024931868136
1955,Spring,51.87558023913048
1955,Summer,74.9718091086957
1955,Winter,32.60299660000005
1956,Fall,55.59321951648355
1956,Spring,46.85674863043482
1956,Summer,72.54951721739134
1956,Winter,32.11688151648356
1957,Fall,56.96254479120883
1957,Spring,51.28490143478265
1957,Summer,73.77575430434787
1957,Winter,33.85125140000004
1958,Fall,55.69798762637367
1958,Spring,49.787011673913085
1958,Summer,72.01729889130439
1958,Winter,32.08034040000003
1959,Fall,57.846489582417625
1959,Spring,51.600039956521776
1959,Summer,73.97547643478265
1959,Winter,29.61861400000004
1960,Fall,56.281785384615425
1960,Spring,47.65798184782612
1960,Summer,72.51636963043482
1960,Winter,34.64285672527476
1961,Fall,58.5272062637363
1961,Spring,48.00748002173918
1961,Summer,73.02561819565221
1961,Winter,26.728577000000037
1962,Fall,53.7818664615385
1962,Spring,50.254273478260906
1962,Summer,71.88372773913048
1962,Winter,30.310970200000046
1963,Fall,56.658074395604444
1963,Spring,50.1639682608696
1963,Summer,72.720525826087
1963,Winter,27.494746600000042
1964,Fall,55.948431120879164
1964,Spring,50.53528263043482
1964,Summer,72.0829846086957
1964,Winter,29.429636593406634
1965,Fall,55.29822701098905
1965,Spring,49.49228123913048
1965,Summer,72.24846271739135
1965,Winter,30.434313000000046
1966,Fall,55.618240307692346
1966,Spring,48.53341341304352
1966,Summer,74.72273313043483
1966,Winter,32.15048860000004
